frame,minimap_x_ratio,minimap_y_ratio,move_dir,target,champions,minions,towers
3,0.395,0.836,STOPPED,NONE,,,
6,0.395,0.836,STOPPED,NONE,,,
9,0.395,0.836,STOPPED,NONE,,,
12,0.395,0.836,STOPPED,NONE,,,
15,0.395,0.836,STOPPED,NONE,,,
18,0.395,0.836,STOPPED,NONE,,,
21,0.395,0.836,STOPPED,NONE,,,
24,0.395,0.836,STOPPED,NONE,,,
27,0.395,0.836,STOPPED,NONE,,,
30,0.395,0.836,STOPPED,NONE,,,
33,0.395,0.836,STOPPED,NONE,,,
36,0.395,0.836,STOPPED,NONE,,,
39,0.395,0.836,STOPPED,NONE,,,
42,0.395,0.836,STOPPED,NONE,,,
45,0.395,0.836,STOPPED,NONE,,,
48,0.395,0.836,STOPPED,NONE,,,
51,0.395,0.836,STOPPED,NONE,,,
54,0.395,0.836,STOPPED,NONE,,,
57,0.395,0.836,STOPPED,NONE,,,
60,0.395,0.836,225,NONE,,,
63,0.395,0.836,STOPPED,NONE,,,
66,0.395,0.836,STOPPED,NONE,,,
69,0.395,0.836,STOPPED,NONE,,,
72,0.395,0.836,STOPPED,NONE,,,
75,0.395,0.836,240,NONE,,,
78,0.395,0.836,STOPPED,NONE,,,
81,0.395,0.836,330,NONE,,,
84,0.395,0.836,300,NONE,,,
87,0.395,0.836,STOPPED,NONE,,,
90,0.395,0.836,STOPPED,NONE,,,
93,0.395,0.836,STOPPED,NONE,,,
96,0.395,0.836,STOPPED,NONE,,,
99,0.395,0.836,STOPPED,NONE,,,
102,0.395,0.836,STOPPED,NONE,,,
105,0.395,0.836,STOPPED,NONE,,,
108,0.395,0.836,STOPPED,NONE,,,
111,0.395,0.836,STOPPED,NONE,"Garen,1169,376,100.0,Blue",,
114,0.395,0.836,STOPPED,NONE,"JarvanIV,1238,540,99.1,Blue",,
117,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,542,99.2,Blue",,
120,0.395,0.836,STOPPED,NONE,"JarvanIV,1235,541,96.7,Blue",,
123,0.395,0.836,STOPPED,NONE,"Ziggs,1006,679,98.4,Blue|JarvanIV,1234,541,99.2,Blue|Garen,1171,384,100.0,Blue",,
126,0.395,0.836,STOPPED,NONE,"JarvanIV,1234,540,96.8,Blue|Ziggs,1006,679,98.4,Blue",,
129,0.395,0.836,STOPPED,NONE,"JarvanIV,1234,541,97.6,Blue|Ziggs,1006,679,98.4,Blue",,
132,0.395,0.836,STOPPED,NONE,"JarvanIV,1233,542,100.0,Blue|Garen,1170,385,100.0,Blue|Ziggs,1006,679,98.4,Blue|UNKNOWN,831,601,100.0,Blue",,
135,0.395,0.836,STOPPED,NONE,"JarvanIV,1233,540,100.0,Blue|Garen,1170,386,100.0,Blue|Ziggs,1006,679,98.4,Blue|UNKNOWN,832,601,100.0,Blue",,
138,0.395,0.836,STOPPED,NONE,"JarvanIV,1234,539,100.0,Blue|Garen,1169,385,100.0,Blue|Ziggs,1006,679,98.4,Blue|UNKNOWN,832,602,100.0,Blue",,
141,0.395,0.836,STOPPED,NONE,"Ezreal,882,466,94.5,Blue|JarvanIV,1234,539,100.0,Blue|Ziggs,1006,679,98.4,Blue|UNKNOWN,952,421,100.0,Blue",,
144,0.395,0.836,STOPPED,NONE,"Ziggs,1004,677,100.0,Blue|JarvanIV,1234,538,100.0,Blue|UNKNOWN,919,570,100.0,Blue|UNKNOWN,953,421,100.0,Blue",,
147,0.395,0.836,STOPPED,NONE,"Ziggs,1005,683,100.0,Blue|JarvanIV,1235,538,100.0,Blue|UNKNOWN,957,545,100.0,Blue|UNKNOWN,951,421,100.0,Blue",,
150,0.395,0.836,STOPPED,NONE,"Ziggs,1005,684,100.0,Blue|JarvanIV,1234,538,100.0,Blue|UNKNOWN,995,520,100.0,Blue|UNKNOWN,951,422,100.0,Blue",,
153,0.395,0.836,STOPPED,NONE,"Ziggs,1005,684,100.0,Blue|JarvanIV,1235,532,100.0,Blue|Ezreal,1030,375,100.0,Blue|UNKNOWN,953,422,100.0,Blue",,
156,0.395,0.836,STOPPED,NONE,"JarvanIV,1235,535,99.2,Blue|Ezreal,1065,365,89.8,Blue|Garen,1168,383,100.0,Blue|Ziggs,1005,684,100.0,Blue|UNKNOWN,954,422,100.0,Blue",,
159,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,534,97.5,Blue|Garen,1168,383,100.0,Blue|Ziggs,1005,684,100.0,Blue|UNKNOWN,953,422,100.0,Blue|UNKNOWN,1093,451,100.0,Blue",,
162,0.395,0.836,STOPPED,NONE,"Garen,1169,377,99.2,Blue|JarvanIV,1237,532,97.5,Blue|Ziggs,1005,684,100.0,Blue|UNKNOWN,1122,423,100.0,Blue|UNKNOWN,955,422,100.0,Blue",,
165,0.395,0.836,STOPPED,NONE,"Ziggs,1006,685,100.0,Blue|JarvanIV,1237,536,100.0,Blue|Garen,1169,369,100.0,Blue|UNKNOWN,955,422,100.0,Blue",,
168,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,534,100.0,Blue|Garen,1168,363,100.0,Blue|Ziggs,1006,685,100.0,Blue|UNKNOWN,954,422,100.0,Blue",,
171,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,536,100.0,Blue|Garen,1168,367,97.5,Blue|Ziggs,1006,685,100.0,Blue|UNKNOWN,954,422,100.0,Blue",,
174,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,535,100.0,Blue|Garen,1170,365,98.3,Blue|Ziggs,1006,685,100.0,Blue|UNKNOWN,954,423,100.0,Blue",,
177,0.395,0.836,STOPPED,NONE,"JarvanIV,1236,533,100.0,Blue|Garen,1170,371,98.3,Blue|Ziggs,1006,685,100.0,Blue|UNKNOWN,954,422,100.0,Blue",,
180,0.395,0.836,STOPPED,NONE,"JarvanIV,1235,535,99.2,Blue|Ziggs,1006,685,100.0,Blue",,
183,0.395,0.836,0,NONE,"JarvanIV,1233,536,100.0,Blue|Ziggs,1006,685,100.0,Blue",,
186,0.399,0.836,0,NONE,"Ziggs,995,690,96.9,Blue|Garen,1164,375,100.0,Blue|UNKNOWN,946,422,100.0,Blue",,
189,0.399,0.836,0,NONE,"Ziggs,978,688,97.6,Blue|Garen,1143,377,100.0,Blue|UNKNOWN,1112,407,100.0,Blue",,
192,0.402,0.836,0,NONE,"Ziggs,952,687,99.2,Blue|JarvanIV,1182,544,99.2,Blue|Garen,1126,373,100.0,Blue|UNKNOWN,907,427,100.0,Blue",,
195,0.402,0.836,0,NONE,"Ziggs,919,690,100.0,Blue|JarvanIV,1149,548,100.0,Blue|Garen,1094,384,100.0,Blue|UNKNOWN,1061,411,100.0,Blue",,
198,0.406,0.832,300,NONE,"Garen,1058,373,100.0,Blue|JarvanIV,1117,541,97.6,Blue|Ziggs,919,690,100.0,Blue|UNKNOWN,1029,413,100.0,Blue|UNKNOWN,846,431,100.0,Blue",,
201,0.409,0.832,315,NONE,"Ziggs,845,693,97.6,Blue|JarvanIV,1080,551,93.8,Blue|UNKNOWN,999,415,100.0,Blue|Ezreal,1065,365,89.8,Blue",,
204,0.409,0.832,STOPPED,NONE,"Garen,1012,372,100.0,Blue|Ziggs,845,693,97.6,Blue|JarvanIV,1080,551,93.8,Blue|UNKNOWN,798,436,100.0,Blue|UNKNOWN,986,417,100.0,Blue",,
207,0.409,0.832,0,NONE,"Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|JarvanIV,1080,551,93.8,Blue|UNKNOWN,791,436,100.0,Blue|UNKNOWN,979,416,100.0,Blue",,
210,0.409,0.832,0,NONE,"JarvanIV,1050,553,99.2,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,973,419,100.0,Blue",,
213,0.413,0.832,0,NONE,"JarvanIV,1049,555,97.7,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,973,419,100.0,Blue",,
216,0.413,0.832,345,NONE,"JarvanIV,1049,555,99.2,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,972,420,100.0,Blue",,
219,0.413,0.832,0,NONE,"JarvanIV,1048,553,98.4,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,971,420,100.0,Blue",,
222,0.413,0.832,STOPPED,NONE,"JarvanIV,1047,552,100.0,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,971,419,100.0,Blue",,
225,0.413,0.832,STOPPED,NONE,"JarvanIV,1048,550,100.0,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,972,419,100.0,Blue",,
228,0.413,0.832,STOPPED,NONE,"JarvanIV,1048,552,100.0,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue",,
231,0.413,0.832,STOPPED,NONE,"JarvanIV,1048,549,100.0,Blue|Ziggs,821,699,99.2,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,971,420,100.0,Blue",,
234,0.413,0.832,STOPPED,NONE,"Ziggs,813,698,98.4,Blue|JarvanIV,1049,551,100.0,Blue|Garen,1012,372,100.0,Blue",,
237,0.413,0.832,STOPPED,NONE,"Ziggs,812,700,98.4,Blue|JarvanIV,1049,548,99.2,Blue|Garen,1012,372,100.0,Blue",,
240,0.413,0.832,STOPPED,NONE,"JarvanIV,1047,548,100.0,Blue|Ziggs,812,700,98.4,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,971,420,100.0,Blue",,
243,0.413,0.832,STOPPED,NONE,"Ziggs,813,699,97.7,Blue|JarvanIV,1048,548,100.0,Blue|Garen,1012,372,100.0,Blue",,
246,0.413,0.832,STOPPED,NONE,"JarvanIV,1047,546,100.0,Blue|Ziggs,813,699,97.7,Blue|Garen,1012,372,100.0,Blue",,
249,0.413,0.832,STOPPED,NONE,"JarvanIV,1046,546,100.0,Blue|Ziggs,813,699,97.7,Blue|Garen,1012,372,100.0,Blue|UNKNOWN,970,419,100.0,Blue",,
252,0.413,0.832,STOPPED,NONE,"Ziggs,814,699,97.7,Blue|Garen,995,377,100.0,Blue|JarvanIV,1046,546,100.0,Blue|UNKNOWN,971,419,100.0,Blue",,
255,0.413,0.832,STOPPED,NONE,,,
258,0.413,0.832,STOPPED,NONE,"JarvanIV,1046,544,100.0,Blue|Ziggs,814,699,97.7,Blue|Garen,995,377,100.0,Blue|UNKNOWN,971,420,100.0,Blue",,
261,0.413,0.832,STOPPED,NONE,,,
264,0.413,0.832,STOPPED,NONE,"Ziggs,812,702,100.0,Blue|JarvanIV,1046,544,100.0,Blue|Garen,995,377,100.0,Blue|UNKNOWN,972,419,100.0,Blue",,
267,0.413,0.832,STOPPED,NONE,"Ziggs,813,703,100.0,Blue|JarvanIV,1046,548,100.0,Blue|Garen,995,377,100.0,Blue|UNKNOWN,973,420,100.0,Blue",,
270,0.413,0.832,STOPPED,NONE,"JarvanIV,1046,548,99.2,Blue|Ziggs,813,703,100.0,Blue|Garen,995,377,100.0,Blue|UNKNOWN,971,419,100.0,Blue",,
273,0.413,0.832,STOPPED,NONE,"Ziggs,813,703,99.2,Blue|JarvanIV,1046,546,100.0,Blue|Garen,995,377,100.0,Blue|UNKNOWN,972,419,100.0,Blue",,
276,0.413,0.832,345,NONE,"JarvanIV,1046,547,99.2,Blue|Ziggs,813,703,99.2,Blue|Garen,995,377,100.0,Blue|UNKNOWN,971,419,100.0,Blue",,
279,0.413,0.832,330,NONE,"JarvanIV,1041,555,99.2,Blue|UNKNOWN,860,783,100.0,Blue|Garen,995,377,100.0,Blue|UNKNOWN,965,422,100.0,Blue|UNKNOWN,777,438,100.0,Blue",,
282,0.413,0.832,330,NONE,"UNKNOWN,898,762,100.0,Blue|Garen,995,377,100.0,Blue|JarvanIV,1041,555,99.2,Blue|UNKNOWN,960,422,100.0,Blue",,
285,0.413,0.832,315,NONE,"Garen,988,397,96.1,Blue|Ziggs,931,605,100.0,Blue|UNKNOWN,955,427,100.0,Blue|JarvanIV,1041,555,99.2,Blue|UNKNOWN,769,444,100.0,Blue",,
288,0.413,0.832,315,NONE,"Garen,986,405,95.9,Blue|UNKNOWN,951,429,100.0,Blue|JarvanIV,1041,555,99.2,Blue|JarvanIV,1041,555,99.2,Blue",,
291,0.413,0.832,315,NONE,"Garen,982,403,100.0,Blue|Garen,982,403,100.0,Blue",,
294,0.413,0.832,330,NONE,,,
297,0.413,0.832,330,NONE,"Ziggs,1047,502,96.8,Blue|UNKNOWN,943,438,100.0,Blue|Ziggs,1047,502,96.8,Blue|UNKNOWN,760,455,100.0,Blue",,
300,0.413,0.832,315,NONE,"Ziggs,1077,478,99.2,Blue|UNKNOWN,940,440,100.0,Blue|UNKNOWN,755,458,100.0,Blue|Ziggs,1077,478,99.2,Blue",,
303,0.413,0.832,330,NONE,"JarvanIV,1011,574,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,940,441,100.0,Blue|UNKNOWN,750,459,100.0,Blue",,
306,0.413,0.832,STOPPED,NONE,,,
309,0.413,0.832,STOPPED,NONE,,,
312,0.413,0.832,STOPPED,NONE,"Bard,748,355,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,940,441,100.0,Blue|Ziggs,1077,478,99.2,Blue",,
315,0.413,0.832,STOPPED,NONE,"Bard,748,354,95.9,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,940,441,100.0,Blue|Ziggs,1077,478,99.2,Blue",,
318,0.413,0.832,STOPPED,NONE,"JarvanIV,1011,573,98.3,Blue|Bard,748,354,94.3,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,939,441,100.0,Blue",,
321,0.413,0.832,STOPPED,NONE,"Ziggs,1086,475,100.0,Blue|JarvanIV,1009,573,100.0,Blue|Bard,748,354,98.4,Blue|UNKNOWN,939,441,100.0,Blue",,
324,0.413,0.832,STOPPED,NONE,"JarvanIV,1008,575,100.0,Blue|Bard,748,355,97.6,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,939,441,100.0,Blue",,
327,0.413,0.832,STOPPED,NONE,"JarvanIV,1009,576,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,939,441,100.0,Blue|Bard,748,355,97.6,Blue",,
330,0.413,0.832,STOPPED,NONE,"JarvanIV,1008,577,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,940,441,100.0,Blue|Bard,748,355,97.6,Blue",,
333,0.413,0.832,STOPPED,NONE,"JarvanIV,1010,578,99.2,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,940,441,100.0,Blue|Bard,748,355,97.6,Blue",,
336,0.413,0.832,STOPPED,NONE,"Bard,750,357,97.5,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,939,441,100.0,Blue|Ziggs,1086,475,100.0,Blue",,
339,0.413,0.832,STOPPED,NONE,"JarvanIV,1010,575,99.2,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,938,441,100.0,Blue|Bard,750,357,97.5,Blue",,
342,0.413,0.832,STOPPED,NONE,"JarvanIV,1010,576,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,938,441,100.0,Blue|Bard,750,357,97.5,Blue",,
345,0.413,0.832,STOPPED,NONE,"JarvanIV,1011,579,100.0,Blue|Ezreal,1065,365,89.8,Blue|UNKNOWN,939,441,100.0,Blue|Bard,750,357,97.5,Blue",,
348,0.413,0.832,STOPPED,NONE,"Ezreal,939,313,99.2,Blue|JarvanIV,1011,580,100.0,Blue|Ziggs,1086,475,100.0,Blue|Bard,750,357,97.5,Blue",,
351,0.413,0.832,STOPPED,NONE,"JarvanIV,1011,583,100.0,Blue|Bard,749,356,98.4,Blue|Ziggs,1086,475,100.0,Blue|Ezreal,939,313,99.2,Blue",,
354,0.413,0.832,STOPPED,NONE,"Bard,749,357,98.4,Blue|Ziggs,1086,475,100.0,Blue|Ziggs,1086,475,100.0,Blue|Ezreal,939,313,99.2,Blue",,
357,0.413,0.832,STOPPED,NONE,"Ziggs,1086,481,100.0,Blue|Bard,750,357,98.4,Blue|Ziggs,1086,481,100.0,Blue|Ezreal,939,313,99.2,Blue",,
360,0.413,0.832,STOPPED,NONE,"Ziggs,1088,479,99.2,Blue|JarvanIV,1013,582,100.0,Blue|Bard,750,358,99.2,Blue|Ezreal,939,313,99.2,Blue",,
363,0.413,0.832,STOPPED,NONE,"Bard,749,359,100.0,Blue|Ziggs,1088,479,99.2,Blue|Ezreal,939,313,99.2,Blue|Ziggs,1088,479,99.2,Blue",,
366,0.413,0.832,STOPPED,NONE,"Ziggs,1088,480,99.2,Blue|JarvanIV,1014,578,98.4,Blue|Ezreal,939,313,99.2,Blue|UNKNOWN,751,459,100.0,Blue",,
369,0.413,0.832,STOPPED,NONE,"JarvanIV,1013,577,100.0,Blue|Ziggs,1088,480,99.2,Blue|Ezreal,939,313,99.2,Blue|UNKNOWN,751,459,100.0,Blue",,
372,0.413,0.832,STOPPED,NONE,"JarvanIV,1014,576,100.0,Blue|Ziggs,1088,480,99.2,Blue|Ezreal,939,313,99.2,Blue|UNKNOWN,751,459,100.0,Blue",,
375,0.413,0.832,330,NONE,"Ziggs,1087,492,100.0,Blue|JarvanIV,1021,560,100.0,Blue|Ezreal,939,313,99.2,Blue|UNKNOWN,748,459,100.0,Blue",,
378,0.413,0.829,315,NONE,,,
381,0.416,0.829,315,NONE,"Ziggs,1087,492,100.0,Blue|Ziggs,1087,492,100.0,Blue",,
384,0.416,0.829,315,NONE,"Ziggs,1087,492,100.0,Blue",,
387,0.416,0.829,STOPPED,NONE,"Ziggs,1087,492,100.0,Blue",,
390,0.416,0.829,STOPPED,NONE,"Ziggs,1087,492,100.0,Blue",,
393,0.416,0.829,STOPPED,NONE,"Ziggs,1087,492,100.0,Blue|Ezreal,939,313,99.2,Blue",,
396,0.416,0.829,STOPPED,NONE,"Ziggs,1087,492,100.0,Blue|Ezreal,939,313,99.2,Blue|Ziggs,1087,492,100.0,Blue",,
399,0.416,0.829,STOPPED,NONE,"Garen,955,416,100.0,Blue|Bard,737,361,100.0,Blue|Ziggs,1087,492,100.0,Blue|Ziggs,1087,492,100.0,Blue|Ezreal,939,313,99.2,Blue",,
