frame,minimap_x_ratio,minimap_y_ratio,move_dir,target,champions,minions,towers
3,0.731,0.294,STOPPED,NONE,,,
6,0.731,0.294,STOPPED,NONE,,,
9,0.731,0.294,STOPPED,NONE,,,
12,0.731,0.294,STOPPED,NONE,,,
15,0.731,0.294,STOPPED,NONE,,,
18,0.731,0.294,STOPPED,NONE,,,
21,0.731,0.294,STOPPED,NONE,,,
24,0.731,0.294,STOPPED,NONE,,,
27,0.731,0.294,STOPPED,NONE,,,
30,0.731,0.294,STOPPED,NONE,,,
33,0.731,0.294,STOPPED,NONE,,,
36,0.731,0.294,STOPPED,NONE,,,
39,0.731,0.294,STOPPED,NONE,,,
42,0.731,0.294,STOPPED,NONE,,,
45,0.731,0.294,STOPPED,NONE,,,
48,0.731,0.294,STOPPED,NONE,,,
51,0.731,0.294,STOPPED,NONE,,,
54,0.731,0.294,STOPPED,NONE,,,
57,0.731,0.294,STOPPED,NONE,,,
60,0.731,0.294,STOPPED,NONE,,,
63,0.731,0.294,STOPPED,NONE,,,
66,0.731,0.294,STOPPED,NONE,,,
69,0.731,0.294,STOPPED,NONE,,,
72,0.731,0.294,STOPPED,NONE,,,
75,0.731,0.294,STOPPED,NONE,,,
78,0.731,0.294,STOPPED,NONE,,,
81,0.731,0.294,STOPPED,NONE,,,
84,0.731,0.294,STOPPED,NONE,,,
87,0.731,0.294,STOPPED,NONE,,,
90,0.731,0.294,STOPPED,NONE,,,
93,0.731,0.294,STOPPED,NONE,,,
96,0.731,0.294,STOPPED,NONE,,,
99,0.731,0.294,STOPPED,NONE,,,
102,0.731,0.294,STOPPED,NONE,,,
105,0.731,0.294,STOPPED,NONE,,,
108,0.731,0.294,STOPPED,NONE,,,
111,0.731,0.294,STOPPED,NONE,,,
114,0.731,0.294,STOPPED,NONE,,,
117,0.731,0.294,STOPPED,NONE,,,
120,0.731,0.294,STOPPED,NONE,,,
123,0.731,0.294,STOPPED,NONE,,,
126,0.731,0.294,STOPPED,NONE,"Garen,874,491,100.0,Red",,
129,0.731,0.294,STOPPED,NONE,"Garen,875,493,100.0,Red",,
132,0.731,0.294,STOPPED,NONE,"Garen,875,494,100.0,Red",,
135,0.731,0.294,STOPPED,NONE,"Garen,876,497,100.0,Red",,
138,0.731,0.294,STOPPED,NONE,"Garen,876,499,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
141,0.731,0.294,STOPPED,NONE,"Garen,877,496,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
144,0.731,0.294,STOPPED,NONE,"Garen,874,499,100.0,Red|UNKNOWN,1114,617,100.0,Red",,
147,0.731,0.294,STOPPED,NONE,"Garen,875,494,100.0,Red|UNKNOWN,1027,344,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
150,0.731,0.294,STOPPED,NONE,"Garen,876,497,100.0,Red|UNKNOWN,1027,345,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
153,0.731,0.294,STOPPED,NONE,"Garen,875,495,100.0,Red|UNKNOWN,1114,617,100.0,Red|UNKNOWN,1027,345,100.0,Red",,
156,0.731,0.294,STOPPED,NONE,"Garen,875,496,100.0,Red|UNKNOWN,1215,431,100.0,Red|UNKNOWN,1113,617,100.0,Red|UNKNOWN,1026,343,100.0,Red",,
159,0.731,0.294,STOPPED,NONE,,,
162,0.731,0.294,STOPPED,NONE,"Garen,875,496,100.0,Red|UNKNOWN,1215,431,100.0,Red|UNKNOWN,1113,617,100.0,Red|UNKNOWN,1027,344,100.0,Red",,
165,0.731,0.294,STOPPED,NONE,,,
168,0.731,0.294,STOPPED,NONE,"Garen,874,494,100.0,Red|UNKNOWN,847,411,100.0,Red|UNKNOWN,1215,431,100.0,Red|UNKNOWN,1027,344,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
171,0.731,0.294,STOPPED,NONE,"Garen,874,492,100.0,Red|UNKNOWN,847,411,100.0,Red|UNKNOWN,1215,430,100.0,Red|UNKNOWN,1027,344,100.0,Red|UNKNOWN,1113,617,100.0,Red",,
