frame,minimap_x_ratio,minimap_y_ratio,move_dir,target,champions,minions,towers
3,0.738,0.290,STOPPED,NONE,,,
6,0.738,0.290,STOPPED,NONE,,,
9,0.738,0.290,STOPPED,NONE,,,
12,0.738,0.290,STOPPED,NONE,,,
15,0.738,0.290,STOPPED,NONE,,,
18,0.738,0.290,STOPPED,NONE,,,
21,0.738,0.290,STOPPED,NONE,,,
24,0.738,0.290,STOPPED,NONE,,,
27,0.738,0.290,STOPPED,NONE,,,
30,0.738,0.290,STOPPED,NONE,,,
33,0.738,0.290,STOPPED,NONE,,,
36,0.738,0.290,STOPPED,NONE,,,
39,0.738,0.290,STOPPED,NONE,,,
42,0.738,0.290,STOPPED,NONE,,,
45,0.738,0.290,STOPPED,NONE,,,
48,0.738,0.290,STOPPED,NONE,,,
51,0.738,0.290,STOPPED,NONE,,,
54,0.738,0.290,STOPPED,NONE,,,
57,0.738,0.290,STOPPED,NONE,,,
60,0.734,0.290,STOPPED,NONE,,,
63,0.734,0.287,STOPPED,NONE,,,
66,0.734,0.287,STOPPED,NONE,,,
69,0.734,0.287,STOPPED,NONE,,,
72,0.734,0.287,STOPPED,NONE,,,
75,0.734,0.287,STOPPED,NONE,,,
78,0.734,0.287,STOPPED,NONE,,,
81,0.734,0.287,STOPPED,NONE,,,
84,0.734,0.287,STOPPED,NONE,,,
87,0.734,0.287,STOPPED,NONE,,,
90,0.734,0.287,STOPPED,NONE,,,
93,0.734,0.287,STOPPED,NONE,,,
96,0.734,0.287,STOPPED,NONE,,,
99,0.734,0.287,STOPPED,NONE,,,
102,0.734,0.287,STOPPED,NONE,,,
105,0.734,0.287,STOPPED,NONE,,,
108,0.734,0.287,STOPPED,NONE,,,
111,0.734,0.287,STOPPED,NONE,,,
114,0.734,0.287,STOPPED,NONE,,,
117,0.734,0.287,STOPPED,NONE,,,
120,0.734,0.287,STOPPED,NONE,,,
123,0.734,0.287,STOPPED,NONE,,,
126,0.734,0.287,STOPPED,NONE,,,
129,0.734,0.287,STOPPED,NONE,,,
132,0.734,0.287,STOPPED,NONE,,,
135,0.734,0.287,STOPPED,NONE,,,
138,0.734,0.287,STOPPED,NONE,,,
141,0.734,0.287,STOPPED,NONE,,,
144,0.734,0.287,STOPPED,NONE,,,
147,0.734,0.287,STOPPED,NONE,,,
150,0.734,0.287,STOPPED,NONE,,,
153,0.734,0.287,STOPPED,NONE,,,
156,0.734,0.287,STOPPED,NONE,,,
159,0.734,0.287,STOPPED,NONE,,,
162,0.734,0.290,STOPPED,NONE,,,
165,0.734,0.290,STOPPED,NONE,,,
168,0.731,0.290,STOPPED,NONE,,,
171,0.734,0.294,STOPPED,NONE,,,
174,0.731,0.294,STOPPED,NONE,,,
177,0.731,0.294,STOPPED,NONE,,,
180,0.731,0.294,STOPPED,NONE,,,
183,0.731,0.294,STOPPED,NONE,,,
186,0.731,0.294,STOPPED,NONE,,,
189,0.731,0.294,STOPPED,NONE,,,
192,0.731,0.294,STOPPED,NONE,,,
195,0.731,0.294,STOPPED,NONE,,,
198,0.731,0.294,STOPPED,NONE,,,
201,0.731,0.294,STOPPED,NONE,,,
204,0.731,0.294,STOPPED,NONE,,,
207,0.731,0.294,STOPPED,NONE,,,
210,0.734,0.297,STOPPED,NONE,,,
213,0.734,0.297,STOPPED,NONE,,,
216,0.734,0.297,STOPPED,NONE,"Garen,880,484,100.0,Red",,
219,0.734,0.297,STOPPED,NONE,"Garen,881,484,100.0,Red",,
222,0.734,0.297,STOPPED,NONE,"Garen,882,483,100.0,Red",,
225,0.734,0.297,STOPPED,NONE,"Garen,883,491,100.0,Red|UnknownChampion,1122,440,100.0,Red",,
228,0.734,0.297,STOPPED,NONE,"Garen,882,491,100.0,Red|UnknownChampion,1123,444,100.0,Red",,
231,0.734,0.297,STOPPED,NONE,"Garen,882,491,100.0,Red|UnknownChampion,1122,445,100.0,Red",,
234,0.734,0.297,STOPPED,NONE,"Garen,880,488,100.0,Red|UnknownChampion,1123,444,100.0,Red|UnknownChampion,1035,209,100.0,Red",,
237,0.734,0.297,STOPPED,NONE,"Garen,881,490,100.0,Red|UnknownChampion,1034,209,100.0,Red|UnknownChampion,1123,443,100.0,Red",,
240,0.734,0.297,STOPPED,NONE,"Garen,882,489,99.2,Red|UnknownChampion,1035,209,100.0,Red|UnknownChampion,1123,443,100.0,Red",,
243,0.734,0.297,STOPPED,NONE,"Garen,882,487,100.0,Red|UnknownChampion,1158,344,100.0,Red|UnknownChampion,1034,209,100.0,Red|UnknownChampion,1121,444,100.0,Red",,
246,0.734,0.297,STOPPED,NONE,"Garen,882,485,99.2,Red|UnknownChampion,1159,346,100.0,Red|UnknownChampion,1121,444,100.0,Red|UnknownChampion,1033,209,100.0,Red",,
